,ids,names,current_prices
160,67edfe2cd021bd5ffb8c4135,Điện thoại Samsung Galaxy Z Flip6 5G 12GB/256GB,19750000.0
161,67edfe2dd021bd5ffb8c4136,Điện thoại Samsung Galaxy Z Flip6 5G 12GB/512GB,23590000.0
162,67edfe2dd021bd5ffb8c4137,Điện thoại OPPO Reno12 Pro 5G 12GB/512GB,13990000.0
163,67edfe2dd021bd5ffb8c4138,Điện thoại Samsung Galaxy M54 5G 8GB/256GB,7190000.0
164,67edfe2dd021bd5ffb8c4139,Điện thoại Itel it9211,490000.0
165,67edfe2dd021bd5ffb8c413a,Điện thoại Itel it9310,650000.0
166,67edfe2dd021bd5ffb8c413b,Điện thoại OPPO Reno12 F 5G 8GB/256GB,8690000.0
167,67edfe2dd021bd5ffb8c413c,Điện thoại OPPO Reno12 F 5G 12GB/256GB,8790000.0
168,67edfe2dd021bd5ffb8c413d,Điện thoại OPPO A38 6GB/128GB,4490000.0
169,67edfe2dd021bd5ffb8c413e,Điện thoại Samsung Galaxy S23 FE 5G 8GB/128GB Xanh mint/Trắng,14890000.0
170,67edfe2dd021bd5ffb8c413f,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,16990000.0
171,67edfe2dd021bd5ffb8c4140,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,16990000.0
172,67edfe2dd021bd5ffb8c4141,Điện thoại HONOR 200 5G 12GB/256GB,11490000.0
173,67edfe2dd021bd5ffb8c4142,Điện thoại HONOR 200 5G 12GB/512GB,12690000.0
174,67edfe2ed021bd5ffb8c4143,Điện thoại vivo Y100 8GB/128GB,5790000.0
175,67edfe2ed021bd5ffb8c4144,Điện thoại vivo Y100 8GB/256GB,6190000.0
176,67edfe2ed021bd5ffb8c4145,Điện thoại HONOR Magic V3 5G 12GB/512GB,37990000.0
177,67edfe2ed021bd5ffb8c4146,Điện thoại OPPO Find N3 5G 16GB/512GB,38990000.0
178,67edfe2ed021bd5ffb8c4147,Điện thoại OPPO A58 8GB/128GB,4790000.0
179,67edfe2ed021bd5ffb8c4148,Điện thoại Itel it2600,490000.0
