,ids,names,current_prices
108,67edfe6fd021bd5ffb8c41b5,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7 155H/32GB/1TB/Win11 (83DA0020VN),27490000
109,67edfe6fd021bd5ffb8c41b6,Laptop Acer Gaming Nitro V ANV15 51 58AN i5 13420H/8GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.001),16990000
110,67edfe6fd021bd5ffb8c41b7,Laptop Lenovo IdeaPad 5 2in1 14IRH9 i5 13420H/16GB/512GB/Touch/Pen/Win11 (83KX003WVN),21990000
111,67edfe6fd021bd5ffb8c41b8,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (71043885),18490000
112,67edfe6fd021bd5ffb8c41b9,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5340W1),18490000
113,67edfe70d021bd5ffb8c41ba,Laptop Asus Vivobook S 14 OLED S5406MA Ultra 5 125H/16GB/1TB/120Hz/Win11 (PP136W),24990000
114,67edfe70d021bd5ffb8c41bb,Laptop HP Pavilion X360 14 ek2027TU Core 7 150U/16GB/512GB/Touch/Pen/Win11 (9Z2V9PA),27190000
115,67edfe70d021bd5ffb8c41bc,Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),15690000
116,67edfe70d021bd5ffb8c41bd,Laptop GIGABYTE G5 MF5 RC555 i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (9RC55MF5FJIINIVN000),24490000
117,67edfe70d021bd5ffb8c41be,Laptop MSI Gaming GF63 Thin 12UC i7 12650H/8GB/512GB/4GB RTX3050/144Hz/Win11 (887VN),18690000
118,67edfe70d021bd5ffb8c41bf,Laptop Acer Aspire 5 A514 56P 54TN i5 1335U/8GB/512GB/Win11 (NX.KHRSV.004),13990000
119,67edfe70d021bd5ffb8c41c0,Laptop MSI Modern 14 C13M i5 1335U/16GB/512GB/Win11 (611VN),14190000
120,67edfe70d021bd5ffb8c41c1,Laptop Asus Zenbook A14 UX3407QA X1 26 100/16GB/512GB/OfficeHS24+365/Win11 (QD299WS),29990000
121,67edfe70d021bd5ffb8c41c2,Laptop MSI Modern 15 F13MG i5 1335U/16GB/512GB/Túi/Win11 (082VN),15390000
122,67edfe70d021bd5ffb8c41c3,Laptop Acer Aspire Lite 16 G2 AL16 52P 76DU i7 1355U/16GB/512GB/Win11 (NX.J2SSV.005),17990000
123,67edfe70d021bd5ffb8c41c4,Laptop Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.001),19990000
124,67edfe70d021bd5ffb8c41c5,Laptop Asus Gaming Vivobook K3605ZU i5 12500H/16GB/512GB/6GB RTX4050/144Hz/Win11 (RP296W),21690000
125,67edfe71d021bd5ffb8c41c6,Laptop Lenovo ThinkBook 16 G6 i5 13420H/16GB/512GB/Win11 (21KH00Q0VN),18690000
126,67edfe71d021bd5ffb8c41c7,Laptop MSI Gaming Katana 15 B13VFK i7 13620H/16GB/1TB/8GB RTX4060/144Hz/Balo/Win11 (676VN),26590000
127,67edfe71d021bd5ffb8c41c8,Laptop Dell Vostro 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (V3520-i5U165W11GRU),16490000
128,67edfe71d021bd5ffb8c41c9,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/32GB/1TB/Win11 (21M7004LVN),25690000
129,67edfe71d021bd5ffb8c41ca,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),16190000
130,67edfe71d021bd5ffb8c41cb,Laptop HP Elitebook 630 G10 i5 1335U/16GB/512GB/Win11 (9J0B4PT),20690000
131,67edfe71d021bd5ffb8c41cc,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (873D1PA),20190000
132,67edfe71d021bd5ffb8c41cd,Laptop Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H/32GB/512GB/Win11 (83DA001YVN),25990000
133,67edfe71d021bd5ffb8c41ce,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682),19990000
134,67edfe71d021bd5ffb8c41cf,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (25P2315),19990000
135,67edfe71d021bd5ffb8c41d0,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),14490000
136,67edfe72d021bd5ffb8c41d1,Laptop HP Envy X360 14 fa0050AU R5 8640HS/16GB/512GB/Touch/Pen/Win11 (A29H8PA),26590000
137,67edfe72d021bd5ffb8c41d2,Laptop Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U/16GB/512GB/Win11 (NX.J1HSV.002),18990000
138,67edfe72d021bd5ffb8c41d3,Laptop Acer Aspire Lite 15 51M 55NB i5 1155G7/8GB/512GB/Win11 (NX.KRSSV.001),11490000
139,67edfe72d021bd5ffb8c41d4,Laptop Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QFHSV.003),21490000
140,67edfe72d021bd5ffb8c41d5,Laptop Asus Vivobook 16 X1605VA i5 13420H/16GB/512GB/OfficeHS24+365/Win11 (MB1876WS),16990000
141,67edfe72d021bd5ffb8c41d6,Laptop MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H/32GB/1TB/8GB RTX4060/120Hz/Balo/Tai nghe/Móc chìa khóa/Chuột/Lót chuột/Win11 (085VN),46690000
142,67edfe72d021bd5ffb8c41d7,Laptop HP Probook 450 G10 i5 1335U/16GB/512GB/Win11 (9H1N5PT),20190000
143,67edfe72d021bd5ffb8c41d8,Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN),32790000
144,67edfe72d021bd5ffb8c41d9,Laptop Asus Zenbook 14 OLED UX3405MA Ultra 9 185H/32GB/1TB/120Hz/Túi/Win11 (PP475W),32290000
145,67edfe72d021bd5ffb8c41da,Laptop Lenovo ThinkPad E14 Gen 6 Ultra 7 155U/16GB/512GB/Win11 (21M7004UVN),27990000
146,67edfe72d021bd5ffb8c41db,Laptop Dell Inspiron 14 5440 Core 7 150U/16GB/1TB/OfficeHS/Win11 (7FN5J),24990000
147,67edfe73d021bd5ffb8c41dc,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/1TB/120Hz/OfficeHS/Win11 (P16WD),21990000
148,67edfe73d021bd5ffb8c41dd,Laptop Asus TUF Gaming F15 FX507VU i7 13620H/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP186W),27190000
149,67edfe73d021bd5ffb8c41de,Laptop HP Pavilion 15 eg3095TU i5 1335U/8GB/512GB/Win11 (8C5L6PA),16690000
150,67edfe73d021bd5ffb8c41df,Laptop HP Envy x360 14 fc0094TU Ultra 5 125U/16GB/512GB/Touch/Pen/Win11 (A19C4PA),26690000
151,67edfe73d021bd5ffb8c41e0,Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/16GB/512GB/Win11 (83DA001NVN),21490000
152,67edfe73d021bd5ffb8c41e1,Laptop Lenovo Gaming LOQ 15IRX9 i7 13650HX/24GB/512GB/6GB RTX4050/144Hz/Win11 (83DV00UGVN),30490000
153,67edfe73d021bd5ffb8c41e2,Laptop Acer Gaming Nitro V ANV15 51 53NE i5 13420H/16GB/512GB/4GB RTX2050/144Hz/Win11 (NH.QNASV.002),19990000
154,67edfe73d021bd5ffb8c41e3,Laptop MSI Prestige 14 AI Studio C1VEG Ultra 7 155H/32GB/1TB/6GB RTX4050/Túi/Win11 (056VN),32390000
155,67edfe73d021bd5ffb8c41e4,Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (i5U085W11BLU),14490000
156,67edfe73d021bd5ffb8c41e5,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/Office365/KYHD/Win11 (N5I7301W1),21490000
157,67edfe73d021bd5ffb8c41e6,Laptop MSI Gaming Bravo 15 B7ED R5 7535HS/16GB/512GB/4GB RX6550M/144Hz/Win11 (010VN),17190000
158,67edfe74d021bd5ffb8c41e7,Laptop Lenovo ThinkPad E16 Ultra 7 155H/32GB/1TB/Win11 (21MA004PVN),34090000
159,67edfe74d021bd5ffb8c41e8,Laptop HP Gaming VICTUS 16 s0173AX R5 7640HS/16GB/512GB/6GB RTX3050/144Hz/Win11 (A9LG9PA),21190000
160,67edfe74d021bd5ffb8c41e9,Laptop Acer Swift Go 14 AI SFG14 73 53X7 Ultra 5 125H/16GB/512GB/Win11 (NX.KSLSV.001),23290000
161,67edfe74d021bd5ffb8c41ea,Laptop Acer Aspire 5 A515 58M 79R7 i7 13620H/16GB/512GB/Win11 (NX.KQ8SV.007),18990000
162,67edfe74d021bd5ffb8c41eb,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/1TB/Win11 (L1386W),22990000
163,67edfe74d021bd5ffb8c41ec,Laptop Asus ROG Strix G16 G614JV i7 13650HX/32GB/1TB/8GB RTX4060/165Hz/Win11 (N3515W),37990000
164,67edfe74d021bd5ffb8c41ed,Laptop MSI Prestige 13 AI Evo A1MG Ultra 7 155H/32GB/1TB/Balo/Chuột/Win11 (062VN),31690000
165,67edfe74d021bd5ffb8c41ee,Laptop Lenovo V15 G4 IRU i5 1335U/16GB/512GB/Win11 (83A1000LVN),13990000
166,67edfe74d021bd5ffb8c41ef,Laptop Dell Inspiron 16 5640 Core 7 150U/16GB/1TB/OfficeHS/Win11 (N5640-C7U161W11IBU),25990000
167,67edfe74d021bd5ffb8c41f0,Laptop Dell Inspiron 15 3530 i7 1355U/16GB/512GB/120Hz/OfficeHS/Win11 (71026454),21490000
168,67edfe74d021bd5ffb8c41f1,Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/1TB/4GB RTX3050/144Hz/Win11 (HN229W),22490000
169,67edfe74d021bd5ffb8c41f2,Laptop Asus Vivobook 15 X1504VA i3 1315U/8GB/512GB/Win11 (NJ1634W),11690000
170,67edfe75d021bd5ffb8c41f3,Laptop Acer Gaming Nitro V ANV15 51 55CA i5 13420H/16GB/512GB/6GB RTX4050/144Hz/Win11 (NH.QN8SV.004),24990000
